VERTEX =  540
-159 -91 92
-164 -137 95
-168 -179 97
-160 -211 92
-122 -239 71
-58 -241 34
-30 -241 17
-216 230 181
-235 205 197
-248 164 208
-248 115 208
-235 77 197
-206 38 173
-170 6 143
-149 -44 125
-140 -91 118
-145 -137 122
-148 -179 124
-141 -211 118
-108 -239 91
-52 -241 43
-26 -241 22
-181 230 216
-197 205 235
-208 164 248
-208 115 248
-197 77 235
-173 38 206
-143 6 170
-125 -44 149
-118 -91 140
-122 -137 145
-124 -179 148
-118 -211 141
-91 -239 108
-43 -241 52
-22 -241 26
-141 230 245
-153 205 265
-161 164 280
-161 115 280
-153 77 265
-134 38 233
-111 6 193
-97 -44 168
-91 -91 159
-94 -137 164
-96 -179 168
-92 -211 160
-70 -239 122
-33 -241 58
-17 -241 30
-96 230 265
-105 205 288
-110 164 304
-110 115 304
-105 77 288
-92 38 253
-76 6 209
-66 -44 183
-62 -91 172
-64 -137 178
-66 -179 182
-63 -211 173
-48 -239 133
-23 -241 63
-11 -241 32
-49 230 278
-53 205 302
-56 164 319
-56 115 319
-53 77 302
-46 38 265
-38 6 219
-33 -44 192
-31 -91 181
-32 -137 187
-33 -179 191
-32 -211 182
-24 -239 139
-11 -241 66
-6 -241 34
0 230 283
0 205 307
0 164 324
0 115 324
0 77 307
0 38 270
0 6 223
0 -44 195
0 -91 184
0 -137 190
0 -179 194
0 -211 185
0 -239 142
0 -241 68
0 -241 35
49 230 278
53 205 302
56 164 319
56 115 319
53 77 302
46 38 265
38 6 219
33 -44 192
31 -91 181
32 -137 187
33 -179 191
32 -211 182
24 -239 139
11 -241 66
6 -241 34
96 230 265
105 205 288
110 164 304
110 115 304
105 77 288
92 38 253
76 6 209
66 -44 183
62 -91 172
64 -137 178
66 -179 182
63 -211 173
48 -239 133
23 -241 63
11 -241 32
141 230 245
153 205 265
161 164 280
161 115 280
153 77 265
134 38 233
111 6 193
97 -44 168
91 -91 159
94 -137 164
96 -179 168
92 -211 160
70 -239 122
33 -241 58
17 -241 30
181 230 216
197 205 235
208 164 248
208 115 248
197 77 235
173 38 206
143 6 170
125 -44 149
118 -91 140
122 -137 145
124 -179 148
118 -211 141
91 -239 108
43 -241 52
22 -241 26
216 230 181
235 205 197
248 164 208
248 115 208
235 77 197
206 38 173
170 6 143
149 -44 125
140 -91 118
145 -137 122
148 -179 124
141 -211 118
108 -239 91
52 -241 43
26 -241 22
245 230 141
265 205 153
280 164 162
280 115 162
265 77 153
233 38 135
193 6 111
168 -44 97
159 -91 92
164 -137 95
168 -179 97
160 -211 92
122 -239 71
58 -241 34
30 -241 17
265 230 96
288 205 105
304 164 110
304 115 110
288 77 105
253 38 92
209 6 76
183 -44 66
172 -91 62
178 -137 64
182 -179 66
173 -211 63
133 -239 48
63 -241 23
32 -241 11
278 230 49
302 205 53
319 164 56
319 115 56
302 77 53
265 38 46
219 6 38
192 -44 33
181 -91 31
187 -137 32
191 -179 33
182 -211 32
139 -239 24
66 -241 11
34 -241 6
FACE = 1008
0 1 15
15 1 16
1 2 16
16 2 17
2 3 17
17 3 18
3 4 18
18 4 19
4 5 19
19 5 20
5 6 20
20 6 21
6 7 21
21 7 22
7 8 22
22 8 23
8 9 23
23 9 24
9 10 24
24 10 25
10 11 25
25 11 26
11 12 26
26 12 27
12 13 27
27 13 28
13 14 28
28 14 29
15 16 30
30 16 31
16 17 31
31 17 32
17 18 32
32 18 33
18 19 33
33 19 34
19 20 34
34 20 35
20 21 35
35 21 36
21 22 36
36 22 37
22 23 37
37 23 38
23 24 38
38 24 39
24 25 39
39 25 40
25 26 40
40 26 41
26 27 41
41 27 42
27 28 42
42 28 43
28 29 43
43 29 44
30 31 45
45 31 46
31 32 46
46 32 47
32 33 47
47 33 48
33 34 48
48 34 49
34 35 49
49 35 50
35 36 50
50 36 51
36 37 51
51 37 52
37 38 52
52 38 53
38 39 53
53 39 54
39 40 54
54 40 55
40 41 55
55 41 56
41 42 56
56 42 57
42 43 57
57 43 58
43 44 58
58 44 59
45 46 60
60 46 61
46 47 61
61 47 62
47 48 62
62 48 63
48 49 63
63 49 64
49 50 64
64 50 65
50 51 65
65 51 66
51 52 66
66 52 67
52 53 67
67 53 68
53 54 68
68 54 69
54 55 69
69 55 70
55 56 70
70 56 71
56 57 71
71 57 72
57 58 72
72 58 73
58 59 73
73 59 74
60 61 75
75 61 76
61 62 76
76 62 77
62 63 77
77 63 78
63 64 78
78 64 79
64 65 79
79 65 80
65 66 80
80 66 81
66 67 81
81 67 82
67 68 82
82 68 83
68 69 83
83 69 84
69 70 84
84 70 85
70 71 85
85 71 86
71 72 86
86 72 87
72 73 87
87 73 88
73 74 88
88 74 89
75 76 90
90 76 91
76 77 91
91 77 92
77 78 92
92 78 93
78 79 93
93 79 94
79 80 94
94 80 95
80 81 95
95 81 96
81 82 96
96 82 97
82 83 97
97 83 98
83 84 98
98 84 99
84 85 99
99 85 100
85 86 100
100 86 101
86 87 101
101 87 102
87 88 102
102 88 103
88 89 103
103 89 104
90 91 105
105 91 106
91 92 106
106 92 107
92 93 107
107 93 108
93 94 108
108 94 109
94 95 109
109 95 110
95 96 110
110 96 111
96 97 111
111 97 112
97 98 112
112 98 113
98 99 113
113 99 114
99 100 114
114 100 115
100 101 115
115 101 116
101 102 116
116 102 117
102 103 117
117 103 118
103 104 118
118 104 119
105 106 120
120 106 121
106 107 121
121 107 122
107 108 122
122 108 123
108 109 123
123 109 124
109 110 124
124 110 125
110 111 125
125 111 126
111 112 126
126 112 127
112 113 127
127 113 128
113 114 128
128 114 129
114 115 129
129 115 130
115 116 130
130 116 131
116 117 131
131 117 132
117 118 132
132 118 133
118 119 133
133 119 134
120 121 135
135 121 136
121 122 136
136 122 137
122 123 137
137 123 138
123 124 138
138 124 139
124 125 139
139 125 140
125 126 140
140 126 141
126 127 141
141 127 142
127 128 142
142 128 143
128 129 143
143 129 144
129 130 144
144 130 145
130 131 145
145 131 146
131 132 146
146 132 147
132 133 147
147 133 148
133 134 148
148 134 149
135 136 150
150 136 151
136 137 151
151 137 152
137 138 152
152 138 153
138 139 153
153 139 154
139 140 154
154 140 155
140 141 155
155 141 156
141 142 156
156 142 157
142 143 157
157 143 158
143 144 158
158 144 159
144 145 159
159 145 160
145 146 160
160 146 161
146 147 161
161 147 162
147 148 162
162 148 163
148 149 163
163 149 164
150 151 165
165 151 166
151 152 166
166 152 167
152 153 167
167 153 168
153 154 168
168 154 169
154 155 169
169 155 170
155 156 170
170 156 171
156 157 171
171 157 172
157 158 172
172 158 173
158 159 173
173 159 174
159 160 174
174 160 175
160 161 175
175 161 176
161 162 176
176 162 177
162 163 177
177 163 178
163 164 178
178 164 179
165 166 180
180 166 181
166 167 181
181 167 182
167 168 182
182 168 183
168 169 183
183 169 184
169 170 184
184 170 185
170 171 185
185 171 186
171 172 186
186 172 187
172 173 187
187 173 188
173 174 188
188 174 189
174 175 189
189 175 190
175 176 190
190 176 191
176 177 191
191 177 192
177 178 192
192 178 193
178 179 193
193 179 194
180 181 195
195 181 196
181 182 196
196 182 197
182 183 197
197 183 198
183 184 198
198 184 199
184 185 199
199 185 200
185 186 200
200 186 201
186 187 201
201 187 202
187 188 202
202 188 203
188 189 203
203 189 204
189 190 204
204 190 205
190 191 205
205 191 206
191 192 206
206 192 207
192 193 207
207 193 208
193 194 208
208 194 209
195 196 210
210 196 211
196 197 211
211 197 212
197 198 212
212 198 213
198 199 213
213 199 214
199 200 214
214 200 215
200 201 215
215 201 216
201 202 216
216 202 217
202 203 217
217 203 218
203 204 218
218 204 219
204 205 219
219 205 220
205 206 220
220 206 221
206 207 221
221 207 222
207 208 222
222 208 223
208 209 223
223 209 224
210 211 225
225 211 226
211 212 226
226 212 227
212 213 227
227 213 228
213 214 228
228 214 229
214 215 229
229 215 230
215 216 230
230 216 231
216 217 231
231 217 232
217 218 232
232 218 233
218 219 233
233 219 234
219 220 234
234 220 235
220 221 235
235 221 236
221 222 236
236 222 237
222 223 237
237 223 238
223 224 238
238 224 239
225 226 240
240 226 241
226 227 241
241 227 242
227 228 242
242 228 243
228 229 243
243 229 244
229 230 244
244 230 245
230 231 245
245 231 246
231 232 246
246 232 247
232 233 247
247 233 248
233 234 248
248 234 249
234 235 249
249 235 250
235 236 250
250 236 251
236 237 251
251 237 252
237 238 252
252 238 253
238 239 253
253 239 254
240 241 255
255 241 256
241 242 256
256 242 257
242 243 257
257 243 258
243 244 258
258 244 259
244 245 259
259 245 260
245 246 260
260 246 261
246 247 261
261 247 262
247 248 262
262 248 263
248 249 263
263 249 264
249 250 264
264 250 265
250 251 265
265 251 266
251 252 266
266 252 267
252 253 267
267 253 268
253 254 268
268 254 269
255 256 270
270 256 271
256 257 271
271 257 272
257 258 272
272 258 273
258 259 273
273 259 274
259 260 274
274 260 275
260 261 275
275 261 276
261 262 276
276 262 277
262 263 277
277 263 278
263 264 278
278 264 279
264 265 279
279 265 280
265 266 280
280 266 281
266 267 281
281 267 282
267 268 282
282 268 283
268 269 283
283 269 284
270 271 285
285 271 286
271 272 286
286 272 287
272 273 287
287 273 288
273 274 288
288 274 289
274 275 289
289 275 290
275 276 290
290 276 291
276 277 291
291 277 292
277 278 292
292 278 293
278 279 293
293 279 294
279 280 294
294 280 295
280 281 295
295 281 296
281 282 296
296 282 297
282 283 297
297 283 298
283 284 298
298 284 299
285 286 300
300 286 301
286 287 301
301 287 302
287 288 302
302 288 303
288 289 303
303 289 304
289 290 304
304 290 305
290 291 305
305 291 306
291 292 306
306 292 307
292 293 307
307 293 308
293 294 308
308 294 309
294 295 309
309 295 310
295 296 310
310 296 311
296 297 311
311 297 312
297 298 312
312 298 313
298 299 313
313 299 314
300 301 315
315 301 316
301 302 316
316 302 317
302 303 317
317 303 318
303 304 318
318 304 319
304 305 319
319 305 320
305 306 320
320 306 321
306 307 321
321 307 322
307 308 322
322 308 323
308 309 323
323 309 324
309 310 324
324 310 325
310 311 325
325 311 326
311 312 326
326 312 327
312 313 327
327 313 328
313 314 328
328 314 329
315 316 330
330 316 331
316 317 331
331 317 332
317 318 332
332 318 333
318 319 333
333 319 334
319 320 334
334 320 335
320 321 335
335 321 336
321 322 336
336 322 337
322 323 337
337 323 338
323 324 338
338 324 339
324 325 339
339 325 340
325 326 340
340 326 341
326 327 341
341 327 342
327 328 342
342 328 343
328 329 343
343 329 344
330 331 345
345 331 346
331 332 346
346 332 347
332 333 347
347 333 348
333 334 348
348 334 349
334 335 349
349 335 350
335 336 350
350 336 351
336 337 351
351 337 352
337 338 352
352 338 353
338 339 353
353 339 354
339 340 354
354 340 355
340 341 355
355 341 356
341 342 356
356 342 357
342 343 357
357 343 358
343 344 358
358 344 359
345 346 360
360 346 361
346 347 361
361 347 362
347 348 362
362 348 363
348 349 363
363 349 364
349 350 364
364 350 365
350 351 365
365 351 366
351 352 366
366 352 367
352 353 367
367 353 368
353 354 368
368 354 369
354 355 369
369 355 370
355 356 370
370 356 371
356 357 371
371 357 372
357 358 372
372 358 373
358 359 373
373 359 374
360 361 375
375 361 376
361 362 376
376 362 377
362 363 377
377 363 378
363 364 378
378 364 379
364 365 379
379 365 380
365 366 380
380 366 381
366 367 381
381 367 382
367 368 382
382 368 383
368 369 383
383 369 384
369 370 384
384 370 385
370 371 385
385 371 386
371 372 386
386 372 387
372 373 387
387 373 388
373 374 388
388 374 389
375 376 390
390 376 391
376 377 391
391 377 392
377 378 392
392 378 393
378 379 393
393 379 394
379 380 394
394 380 395
380 381 395
395 381 396
381 382 396
396 382 397
382 383 397
397 383 398
383 384 398
398 384 399
384 385 399
399 385 400
385 386 400
400 386 401
386 387 401
401 387 402
387 388 402
402 388 403
388 389 403
403 389 404
390 391 405
405 391 406
391 392 406
406 392 407
392 393 407
407 393 408
393 394 408
408 394 409
394 395 409
409 395 410
395 396 410
410 396 411
396 397 411
411 397 412
397 398 412
412 398 413
398 399 413
413 399 414
399 400 414
414 400 415
400 401 415
415 401 416
401 402 416
416 402 417
402 403 417
417 403 418
403 404 418
418 404 419
405 406 420
420 406 421
406 407 421
421 407 422
407 408 422
422 408 423
408 409 423
423 409 424
409 410 424
424 410 425
410 411 425
425 411 426
411 412 426
426 412 427
412 413 427
427 413 428
413 414 428
428 414 429
414 415 429
429 415 430
415 416 430
430 416 431
416 417 431
431 417 432
417 418 432
432 418 433
418 419 433
433 419 434
420 421 435
435 421 436
421 422 436
436 422 437
422 423 437
437 423 438
423 424 438
438 424 439
424 425 439
439 425 440
425 426 440
440 426 441
426 427 441
441 427 442
427 428 442
442 428 443
428 429 443
443 429 444
429 430 444
444 430 445
430 431 445
445 431 446
431 432 446
446 432 447
432 433 447
447 433 448
433 434 448
448 434 449
435 436 450
450 436 451
436 437 451
451 437 452
437 438 452
452 438 453
438 439 453
453 439 454
439 440 454
454 440 455
440 441 455
455 441 456
441 442 456
456 442 457
442 443 457
457 443 458
443 444 458
458 444 459
444 445 459
459 445 460
445 446 460
460 446 461
446 447 461
461 447 462
447 448 462
462 448 463
448 449 463
463 449 464
450 451 465
465 451 466
451 452 466
466 452 467
452 453 467
467 453 468
453 454 468
468 454 469
454 455 469
469 455 470
455 456 470
470 456 471
456 457 471
471 457 472
457 458 472
472 458 473
458 459 473
473 459 474
459 460 474
474 460 475
460 461 475
475 461 476
461 462 476
476 462 477
462 463 477
477 463 478
463 464 478
478 464 479
465 466 480
480 466 481
466 467 481
481 467 482
467 468 482
482 468 483
468 469 483
483 469 484
469 470 484
484 470 485
470 471 485
485 471 486
471 472 486
486 472 487
472 473 487
487 473 488
473 474 488
488 474 489
474 475 489
489 475 490
475 476 490
490 476 491
476 477 491
491 477 492
477 478 492
492 478 493
478 479 493
493 479 494
480 481 495
495 481 496
481 482 496
496 482 497
482 483 497
497 483 498
483 484 498
498 484 499
484 485 499
499 485 500
485 486 500
500 486 501
486 487 501
501 487 502
487 488 502
502 488 503
488 489 503
503 489 504
489 490 504
504 490 505
490 491 505
505 491 506
491 492 506
506 492 507
492 493 507
507 493 508
493 494 508
508 494 509
495 496 510
510 496 511
496 497 511
511 497 512
497 498 512
512 498 513
498 499 513
513 499 514
499 500 514
514 500 515
500 501 515
515 501 516
501 502 516
516 502 517
502 503 517
517 503 518
503 504 518
518 504 519
504 505 519
519 505 520
505 506 520
520 506 521
506 507 521
521 507 522
507 508 522
522 508 523
508 509 523
523 509 524
510 511 525
525 511 526
511 512 526
526 512 527
512 513 527
527 513 528
513 514 528
528 514 529
514 515 529
529 515 530
515 516 530
530 516 531
516 517 531
531 517 532
517 518 532
532 518 533
518 519 533
533 519 534
519 520 534
534 520 535
520 521 535
535 521 536
521 522 536
536 522 537
522 523 537
537 523 538
523 524 538
538 524 539
525 526 0
0 526 1
526 527 1
1 527 2
527 528 2
2 528 3
528 529 3
3 529 4
529 530 4
4 530 5
530 531 5
5 531 6
531 532 6
6 532 7
532 533 7
7 533 8
533 534 8
8 534 9
534 535 9
9 535 10
535 536 10
10 536 11
536 537 11
11 537 12
537 538 12
12 538 13
538 539 13
13 539 14
